               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.039492,            0.051788,           0.0024163,             0.98646,             0.99234,             0.99264,             0.70254,            0.030288,            0.052148,           0.0013729,            0.004654,            0.004654,            0.004654
                  56,            0.035791,            0.052628,           0.0021755,             0.98383,             0.99176,             0.99266,             0.69621,            0.033199,            0.052061,           0.0013417,            0.004555,            0.004555,            0.004555
                  57,            0.037587,            0.048643,           0.0033543,             0.98511,             0.99119,             0.99252,             0.62262,            0.034517,            0.053096,           0.0013384,            0.004456,            0.004456,            0.004456
                  58,            0.036228,            0.050702,           0.0023658,             0.87947,             0.99157,             0.97265,             0.61281,            0.035115,            0.053613,             0.00131,            0.004357,            0.004357,            0.004357
                  59,            0.038509,            0.050833,           0.0022994,              0.9886,             0.99349,             0.99318,              0.7159,            0.030389,            0.052083,           0.0013314,            0.004258,            0.004258,            0.004258
                  60,            0.036459,            0.045688,           0.0025919,             0.98935,             0.99387,             0.99295,             0.72753,            0.030078,            0.052322,           0.0013265,            0.004159,            0.004159,            0.004159
                  61,            0.035697,            0.049274,            0.002316,             0.98842,              0.9931,             0.99276,             0.72271,            0.030249,            0.051971,           0.0012797,             0.00406,             0.00406,             0.00406
                  62,            0.035453,             0.05251,           0.0021988,             0.98972,             0.99387,             0.99283,             0.68597,            0.033209,            0.054314,           0.0012717,            0.003961,            0.003961,            0.003961
                  63,            0.038116,            0.054166,           0.0026517,             0.98954,             0.99349,             0.99241,             0.70261,            0.029793,            0.051566,           0.0012482,            0.003862,            0.003862,            0.003862
                  64,            0.033912,            0.049204,           0.0020605,              0.9881,             0.99318,             0.99265,             0.72981,            0.030982,            0.051814,            0.001224,            0.003763,            0.003763,            0.003763
                  65,            0.035534,             0.05202,           0.0023147,             0.98922,             0.99234,             0.99261,             0.71185,            0.031864,            0.051889,           0.0011862,            0.003664,            0.003664,            0.003664
                  66,             0.03405,            0.052546,           0.0019175,             0.98929,             0.99156,             0.99293,             0.72088,            0.031643,            0.052512,           0.0011215,            0.003565,            0.003565,            0.003565
                  67,            0.034857,            0.048701,           0.0020233,             0.98698,             0.99336,             0.99277,             0.72284,            0.029444,            0.051186,           0.0010749,            0.003466,            0.003466,            0.003466
                  68,            0.035528,            0.050151,           0.0018381,             0.98759,               0.995,              0.9929,             0.73185,            0.029166,            0.051094,           0.0010657,            0.003367,            0.003367,            0.003367
                  69,            0.034058,            0.051108,           0.0023795,             0.98735,             0.99301,             0.99255,             0.70907,            0.030955,            0.051717,           0.0010474,            0.003268,            0.003268,            0.003268
                  70,            0.033512,            0.052451,           0.0019463,             0.98056,             0.99349,             0.99225,             0.69185,            0.029601,            0.051534,           0.0010319,            0.003169,            0.003169,            0.003169
                  71,            0.033374,            0.047349,           0.0019139,             0.98844,             0.99279,             0.99291,             0.70897,             0.03053,            0.051543,           0.0010157,             0.00307,             0.00307,             0.00307
                  72,            0.034019,            0.047524,           0.0016583,             0.98824,              0.9931,             0.99308,             0.73507,            0.029574,            0.050945,            0.001018,            0.002971,            0.002971,            0.002971
                  73,            0.033961,            0.048972,           0.0016158,             0.98863,             0.99404,             0.99318,             0.72477,             0.02936,            0.051013,           0.0010039,            0.002872,            0.002872,            0.002872
                  74,            0.032405,            0.051741,           0.0018951,             0.98882,              0.9954,             0.99345,             0.71327,             0.02966,            0.051042,          0.00097481,            0.002773,            0.002773,            0.002773
                  75,            0.034407,            0.051874,           0.0016622,              0.9885,             0.99413,             0.99334,              0.7141,            0.028833,            0.050716,          0.00096931,            0.002674,            0.002674,            0.002674
                  76,            0.033375,            0.048463,           0.0016328,             0.98874,             0.99339,              0.9935,             0.73236,            0.029005,            0.050996,          0.00094946,            0.002575,            0.002575,            0.002575
